Catalog Number,Category,Component Number,Casting Desc,Weight,Height,Body Diameter,Base Diameter,Body Type,Cap Type,Mounting Option
8401-43AA,Bollards,84004001,Bollard Cap,,,,,,,
8401-43AA,Bollards,84014301,Bollard,114,40 15/16,5 5/8,10 15/16,Fluted,A,Option A
8401-43AB,Bollards,84004001,Bollard Cap,,,,,,,
8401-43AB,Bollards,84014302,Bollard,94,40 15/16,5 5/8,8,Fluted,A,Option A
8401-43AC,Bollards,84004001,Bollard Cap,,,,,,,
8401-43AC,Bollards,84014303,Bollard,82,40 15/16,5 5/8,10 1/2,Fluted,A,Option A
8401-43BA,Bollards,84004002,Bollard Cap,,,,,,,
8401-43BA,Bollards,84014301,Bollard,108,38,5 5/8,10 15/16,Fluted,B,Option B
8401-43BB,Bollards,84004002,Bollard Cap,,,,,,,
8401-43BB,Bollards,84014302,Bollard,88,38,5 5/8,8,Fluted,B,Option B
8401-43BC,Bollards,84004002,Bollard Cap,,,,,,,
8401-43BC,Bollards,84014303,Bollard,76,38,5 5/8,10 1/2,Fluted,B,Option B
8401-43DA,Bollards,84004004,Bollard Cap,,,,,,,
8401-43DA,Bollards,84014301,Bollard,111,36,5 5/8,10 15/16,Fluted,D,Option D
